Nome,Categoria,Duracao,Imagem
O Clone,Novelas,60.49,https://s2.glbimg.com/N9aihW-pZmKeu8AFaewqyIqhZU0=/362x536/https://s2.glbimg.com/PDsHaYEngOHVWYgXFzwkfk852t8=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/r/L/AARQKWR4u0yUxj21J7Eg/2020-974-o-clone-poster.jpg
Passione,Novelas,72.29,https://s2.glbimg.com/_-iWLfblrUjQYxZ_Sh7HtmcbYig=/362x536/https://s2.glbimg.com/crrzX-xCqhn4M5F8zYUi0HrSXps=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2019/D/E/jaI8ZnSnmag7VbMjeWWA/2019-639-mks-antigos-novelas-passione-poster.jpg
A Regra do Jogo,Novelas,77.88,https://s2.glbimg.com/lOvEiNW8McSyCbmtrC8L4Uf1SDQ=/362x536/https://s2.glbimg.com/fBh51Wjh8rTAjppkbBj9MTyi6_Q=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/ce/1b/86ba6c5da4b88560ac9795603ef9.jpg
Morde e Assopra,Novelas,57.60,https://s2.glbimg.com/8oMAFNjGfgvJfz7Vlpm-mZY4w6w=/362x536/https://s2.glbimg.com/H0xO4y0GGGawCgr6A8keQodxS7g=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/0c/fc/e84ef623ac03f7a9f0c965f79afe.jpg
"Liberdade, Liberdade",Novelas,33.63,https://s2.glbimg.com/ZwYJcittY9u_yTqsjnbBRPWdoJ0=/362x536/https://s2.glbimg.com/nJtnDMiUGW6NDIoXJE3bljofuhs=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/76/e0/514ccbfcae1c9d64528f7622bd81.jpg
Sol Nascente,Novelas,42.10,https://s2.glbimg.com/Zsz6Jo7SLXRAx3QCJq6O4HrZC3k=/362x536/https://s2.glbimg.com/ZeaniYQb6XC5aeDUIqE-q97BnSA=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/68/32/66f1ed3c57c6ab45a1b43fb65801.jpg
Roda de Fogo,Novelas,38.97,https://s2.glbimg.com/DHE5wwFzpFLObBeTfYAmhV3ogDw=/362x536/https://s2.glbimg.com/1cwwXUSdMOYTONZ7SuimF9kreZM=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2021/C/U/A3DJUrRgK7xLvybuRaqw/2021-1663-roda-de-fogo-poster.jpg
O Cravo e a Rosa,Novelas,40.22,https://s2.glbimg.com/fiqPErqZgWIruz_e6h2XyDrvnyI=/362x536/https://s2.glbimg.com/1I0i2ewEvQUHJ6cQm-mkMP8tst4=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/O/i/pGfq6qTJi7mPHfMlImVw/2022-2626-o-cravo-e-a-rosa-poster.jpg
A Favorita - Vale a Pena Ver de Novo,Novelas,52.96,https://s2.glbimg.com/yBq6adr6-R_PorEwNohR0JJDMdk=/362x536/https://s2.glbimg.com/daNaUnUzc1YP6zThBwSW1nqTz3Q=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/q/2/6XbO60Q86hxQrEC2b4VQ/2022-2844-a-favorita-poster.jpg
A Próxima Vítima,Novelas,49.24,https://s2.glbimg.com/Qgg3OInTS1Twy_xkaQETn09zoDs=/362x536/https://s2.glbimg.com/SmZPdqNs7xrQBD3qSnvmPxJVNmI=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/F/V/2hUvuQSyyBYtvpoL6b2g/2022-3086-a-proxima-vitima-poster.jpg
Cabocla,Novelas,50.93,https://s2.glbimg.com/6tcnR2vS1niSe2VSs9a_vJesXp4=/362x536/https://s2.glbimg.com/cNBkPHvdnE6bso7v2sCB0Ymfei0=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/g/J/qbOX9DSwAsIWu5bdpNuQ/2020-1002-cabocla-poster.jpg
Kubanacan,Novelas,51.56,https://s2.glbimg.com/1suER_83xsd7Pt5Sde-KqAhZeoY=/362x536/https://s2.glbimg.com/k46ZgAtCnusq4OSz8nrUKz2qpEQ=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/R/D/xCs9JqTiAX3u5qc6F9wQ/2020-1215-kubanacan-poster.jpg
Sangue Bom,Novelas,46.30,https://s2.glbimg.com/rFYfQjVitgBaMk-u025uoykzN_U=/362x536/https://s2.glbimg.com/VbpueznD1twQTYmlU9T0WXuUorY=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/a8/00/6e240d7fa085258ee2bfc285e79b.jpg
Meu Pedacinho de Chão,Novelas,42.88,https://s2.glbimg.com/_Wl-KduvSUwN4-ZySOi9nT_g3cE=/362x536/https://s2.glbimg.com/4nZJ9tAZ2cfBas0KDnCskKN38dQ=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/7f/ca/35ea71ac8b386a8fb1bb015ae9d0.jpg
Elas Por Elas,Novelas,40.13,https://s2.glbimg.com/qdrUiM0vizgEeve-e0VlJ6dXZQs=/362x536/https://s2.glbimg.com/GAPjSvi5yawzfjPZFL3280sBOxk=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2023/w/2/vARpYnSVuKhsAYetsy5Q/2022-3343-elas-por-elas-poster.jpg
Além do Tempo,Novelas,35.04,https://s2.glbimg.com/_nNwhMCD-QGfcQPVIxVRhrnMUqg=/362x536/https://s2.glbimg.com/iyMrpi_WJ-HfvV122zQvzefJ4kc=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/bd/f4/78003bc15d9e778f54ae37489b3c.jpg
Os Dias Eram Assim,Novelas,39.06,https://s2.glbimg.com/eSLu8H7r2VyJ5xGvRrqTuIcd2NQ=/362x536/https://s2.glbimg.com/RiI5oeJ4hpLHpquD1Xh7hfXCLtU=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2019/A/m/d5Zr0CSPawSjTBCIa5tw/os-dias-eram-assim-poster-web.jpg
Deus Salve o Rei,Novelas,51.50,https://i.pinimg.com/474x/d9/a9/7a/d9a97a94db6f1684de66ffcc0ca2c87c.jpg
Verdades Secretas 2,Novelas,49.71,https://s2.glbimg.com/oe6oA0W7sSqC3A-3ZvFOTeuaYDY=/362x536/https://s2.glbimg.com/AOd898g25o3ayD1Erv8ofOhOXwE=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2021/q/0/zYzyJESzGYyZBIBm7MqQ/2021-2307-verdades-secretas-poster-globoplay.jpg
Amar Demais,Novelas,45.18,https://s2.glbimg.com/Tk2ihBrQ-bGVgX1DqjdGnU0VYTM=/362x536/https://s2.glbimg.com/124Ewmr-egInIqKqez52w_WcvSc=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/g/w/giucS9QymvX4nqRRd7fA/2022-2696-amar-demais-poster.jpg
Pega Pega - Edição Especial,Novelas,35.60,https://br.web.img2.acsta.net/pictures/21/10/11/21/33/5170129.jpg
Vai na Fé,Novelas,40.12,https://s2.glbimg.com/ogZyNRWwYWcB8IYtnhUqLNjrXBM=/362x536/https://s2.glbimg.com/zPlHGkIKx_Srf17tw2WMbjant4I=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2023/X/F/KWmZ7kTvWGfJmcHcugFA/2023-3325-vai-na-fe-poster.jpg
Lado a Lado,Novelas,34.31,https://s2.glbimg.com/QdO9uDlsAmcwceoSDeDn2-mSLMs=/362x536/https://s2.glbimg.com/AwzFJejA0zspRKQKNk1CfLX8Np4=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2021/D/O/MGBOSmS5GQxoZBziWZDw/2020-1364-lado-a-lado-poster.jpg
Joia Rara,Novelas,45.03,https://cinema10.com.br/upload/series/series_567_novela-joia-rara-completa-em-29-dvds-D_NQ_NP_738771-MLB27970780196_082018-F.jpg
Novo Mundo,Novelas,41.31,https://s2.glbimg.com/1oQOnrOp7wwFKXZvs4lXwbH4oK8=/362x536/https://s2.glbimg.com/h26S0ghkPe__QD2r52AHmN_Ts70=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/50/be/483ef9d273354943415364a6fe39.jpg
Fera Radical,Novelas,45.24,https://s2.glbimg.com/IPCrjYka3PZtGJPZH_dv2z8pZ_w=/362x536/https://s2.glbimg.com/yR0JaSr6Jj8TvnG4HdxUxKvsExY=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/l/B/XOMFfiS8quW8Chqh6cQg/2020-987-fera-radical-poster.jpg
Cheias de Charme,Novelas,40.63,https://cinema10.com.br/upload/series/series_2174_e0ace192cf2153e7a6b5558a7dc7-easy-resize.com.jpg
